#Activity	walking running walking standing 
#ActivityID	1 2 1 8 
#Date 08-22-18-45
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-32768	4792	-488	-143	-1940	-2219	-14504	-6800	-14488	-70	-2688	-616	-17040	-9552	10288	-1024	-179	-1322	-3976	9624	14136	125	653	-615	-17544	3664	-4544	321	1209	39	-17184	3880	-2128	1284	995	78	123	138	1
-32768	9504	-5100	-1502	-1728	-633	-11296	-4304	-13240	-488	-1679	-757	-16048	-10312	11000	410	-352	-322	-4240	9248	15488	223	844	-719	-17632	2288	-4992	567	1339	23	-17568	5528	-1976	1400	848	44	113	136	1
-32768	6100	-6536	-1208	-1213	401	-9520	-3352	-13696	-791	-414	-675	-14672	-8528	8896	581	-226	240	-3656	9672	14776	266	1140	-800	-17800	2568	-5128	699	1488	-65	-16464	6776	-3080	1262	691	-19	150	133	1
-30708	2684	-6128	89	-414	778	-9264	-2288	-12832	-1036	709	-251	-13424	-7576	6608	528	158	-58	-4272	9656	14688	349	1408	-958	-17496	3616	-5480	628	1615	-112	-16408	6664	-3024	900	625	-103	121	127	1
-28784	-1044	-3580	736	210	746	-10384	-5160	-13632	-803	1651	-66	-13320	-4792	4096	568	228	-342	-5120	10152	13992	436	1660	-1148	-17352	3264	-5472	499	1747	-156	-16416	5168	-2000	578	392	-199	128	131	1
-24276	-4904	-376	882	731	444	-11720	-8200	-12984	242	2451	-6	-10896	-3352	968	246	-308	-302	-5472	10120	14056	542	1911	-1370	-17736	2360	-5536	496	1895	-200	-17048	3720	-240	450	216	-165	127	134	1
22792	-26856	25748	3257	3338	564	-20488	-10136	32767	-578	1856	-13	-10336	-2528	-2440	-843	1355	531	-4880	11336	15688	548	2199	-1623	-19008	3328	-6112	672	2054	-211	-18032	5592	2344	937	-12	-61	134	129	1
-19784	-336	14032	1255	4489	1680	-32768	-1536	-2528	3869	2253	-254	-31776	-5608	14072	673	1164	-98	-5608	11112	14992	628	2676	-1973	-23528	2832	-5920	572	2216	-359	-22448	9392	5760	1195	-329	296	125	138	1
-24044	1224	27784	638	2564	1347	-13752	-2592	-9184	4291	2649	925	-20488	-72	9768	3258	1407	-106	-5480	14296	16568	899	3099	-2567	-25536	-1032	1688	1067	2408	-382	-21784	7360	9936	1179	-1218	213	135	135	1
-16512	-10524	17616	2	1716	1230	-16936	10520	-8328	1091	2553	-137	-18568	11888	-504	2815	1226	709	-6944	11968	15760	956	3813	-3210	-25408	-2344	-184	1556	2745	-242	-21912	920	14184	531	-1833	58	128	120	1
